category,source,avg_price,median_price,min_price,max_price,avg_rating,median_rating,min_rating,max_rating,avg_review_count,median_review_count,min_review_count,max_review_count,count
gadgets,amazon,23.920065359477125,16.95,4.97,249.0,4.481016949152543,4.5,3.0,5.0,10355.065359477125,2879.0,0,130182,306
gadgets,microcenter,25.610166666666665,17.99,3.99,144.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,240
gpus,amazon,197.2074846625767,63.56,3.99,1999.0,4.373484848484848,4.5,3.0,5.0,1088.0429447852762,31.0,0,54219,163
gpus,microcenter,99.99,99.99,99.99,99.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1
laptops,amazon,470.2028125,339.495,8.99,2399.99,4.299358974358975,4.3,1.0,5.0,512.54375,57.5,0,13381,160
laptops,microcenter,988.8409836065574,799.99,209.99,2399.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,61
monitors,amazon,126.97625899280575,101.99,15.99,999.99,4.397744360902255,4.4,3.0,5.0,3694.482014388489,582.0,0,35343,139
monitors,microcenter,469.99,289.99,69.99,2699.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,124
ram,amazon,136.1219375,65.99,0.0,4268.0,4.5055555555555555,4.7,2.0,5.0,3224.25,81.5,0,90103,160
ram,microcenter,190.630350877193,158.99,48.99,549.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,114
